,Unnamed: 1,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,label
All Out 60s,35,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,0,0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103,164813,0
All Out 60s,36,Everyday People,Sly & The Family Stone,64,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,141507,0
All Out 60s,37,"Oh, Pretty Woman",Roy Orbison,72,0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,178933,0
All Out 60s,38,In the Midnight Hour,Wilson Pickett,62,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919,157160,0
All Out 60s,39,Up on the Roof,The Drifters,56,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795,157173,0
All Out 60s,40,The Weight - Remastered,The Band,0,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,278627,1
All Out 60s,41,Sugar Sugar,The Archies,64,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439,167213,0
All Out 60s,42,Twistin' the Night Away,Sam Cooke,48,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891,159893,0
All Out 60s,43,It's Not Unusual,Tom Jones,0,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499,119800,0
All Out 60s,44,Mustang Sally,Wilson Pickett,60,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,187760,0
All Out 60s,45,Save the Last Dance for Me,The Drifters,58,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,154960,0
All Out 60s,46,Different Drum,Stone Poneys,56,0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213,159973,0
All Out 60s,47,Bad Moon Rising,Creedence Clearwater Revival,77,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,0
All Out 60s,48,Gloria (feat. Van Morrison) - Stereo Version,Them,62,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118,156800,0
All Out 60s,49,River Deep - Mountain High,Ike & Tina Turner,58,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,214880,0
All Out 60s,50,Don't Worry Baby - Remastered 2001,The Beach Boys,63,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,169933,0
All Out 60s,51,Another Saturday Night,Sam Cooke,57,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094,160000,0
All Out 60s,52,Downtown,Petula Clark,0,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515,183120,0
All Out 60s,53,Baby Love,The Supremes,66,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,158040,0
All Out 60s,54,Knock on Wood,Eddie Floyd,59,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,189840,0
All Out 60s,55,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],The 5th Dimension,45,0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235,290400,1
All Out 60s,56,The Loco-Motion - Single Version,Little Eva,46,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664,148627,0
All Out 60s,57,"Monday, Monday - Single Version",The Mamas & The Papas,38,0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553,205267,0
All Out 60s,58,Honky Tonk Women - Mono Version,The Rolling Stones,63,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,179387,0
All Out 60s,59,My Girl,The Temptations,1,0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564,165000,0
All Out 60s,60,Cupid,Sam Cooke,54,0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326,158613,0
All Out 60s,61,Last Train to Clarksville - Original Stereo Version; 2006 Remaster,The Monkees,49,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499,164093,0
All Out 60s,62,This Old Heart Of Mine (Is Weak For You),The Isley Brothers,0,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,172733,0
All Out 60s,63,Respect,Aretha Franklin,72,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,147600,0
All Out 60s,64,Everlasting Love,Love Affair,47,0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521,181747,0
All Out 60s,65,To Sir with Love,Lulu,47,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142,166693,0
All Out 60s,66,Green Green Grass Of Home,Tom Jones,61,0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363,184893,0
All Out 60s,67,One Fine Day,The Chiffons,59,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13,128200,0
All Out 60s,68,A Place In The Sun,Stevie Wonder,51,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784,172960,0
All Out 60s,69,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,66,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,229360,1
All Out 60s,70,Stop! In The Name Of Love,The Supremes,0,0.628,0.593,0,-7.515,1,0.0279,0.508,0.0,0.104,0.488,114.944,172933,0
All Out 60s,71,The Boxer,Simon & Garfunkel,69,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,308520,1
All Out 60s,72,Do You Know the Way to San Jose,Dionne Warwick,49,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269,179440,0
All Out 60s,73,Baby I Need Your Loving,Four Tops,61,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414,166027,0
All Out 60s,74,All You Need Is Love - Remastered 2009,The Beatles,64,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436,230387,1
All Out 60s,75,Wake up Little Susie,The Everly Brothers,61,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,123520,0
All Out 60s,76,Soul Man,Sam & Dave,64,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,159000,0
All Out 60s,77,Do Wah Diddy Diddy,Manfred Mann,55,0.661,0.557,4,-8.244,1,0.049,0.262,0.0,0.0557,0.957,125.445,143400,0
All Out 60s,78,Mr. Tambourine Man,The Byrds,63,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,149467,0
All Out 60s,79,Summer in the City - Remastered,The Lovin' Spoonful,64,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461,160307,0
All Out 60s,80,Georgia on My Mind - Original Master Recording,Ray Charles,60,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,217415,0
All Out 60s,81,America,Simon & Garfunkel,62,0.259,0.241,2,-15.955,1,0.042,0.554,6.62e-06,0.0849,0.275,178.453,215293,0
All Out 60s,82,No Particular Place To Go - Stereo Remix,Chuck Berry,42,0.574,0.542,7,-11.578,1,0.0657,0.212,0.000117,0.0645,0.977,129.646,164400,0
All Out 60s,83,The Tracks Of My Tears,Smokey Robinson & The Miracles,63,0.502,0.333,7,-10.914,1,0.0264,0.699,0.0,0.222,0.729,96.982,174360,0
All Out 60s,84,Waterloo Sunset - Stereo Mix,The Kinks,0,0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958,193293,0
All Out 60s,85,Itchycoo Park,Small Faces,39,0.603,0.596,9,-8.029,1,0.0728,0.395,2.31e-06,0.451,0.502,128.129,172747,0
All Out 60s,86,Rescue Me,Fontella Bass,0,0.733,0.579,7,-8.442,1,0.033,0.573,2.11e-05,0.113,0.963,122.729,176427,0
All Out 60s,87,You Don't Have To Say You Love Me,Dusty Springfield,47,0.243,0.655,2,-4.597,0,0.0363,0.659,1.28e-06,0.0821,0.575,111.965,168467,0
All Out 60s,88,It Takes Two,Marvin Gaye,0,0.523,0.48,3,-10.923,1,0.0492,0.214,0.0,0.0751,0.81,151.4,177667,0
All Out 60s,89,Somethin' Stupid,Frank Sinatra,69,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356,162493,0
All Out 60s,90,Louie Louie,The Kingsmen,67,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394,165381,0
All Out 60s,91,Wichita Lineman - Remastered 2001,Glen Campbell,61,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,186200,0
All Out 60s,92,Do You Love Me,The Contours,45,0.615,0.815,5,-7.128,1,0.0373,0.475,0.0,0.0964,0.765,150.733,174400,0
All Out 60s,93,Both Sides Now,Joni Mitchell,56,0.623,0.156,6,-15.098,1,0.0308,0.912,0.0,0.141,0.329,97.235,274560,1
All Out 60s,94,"Reach Out, I'll Be There",Four Tops,0,0.619,0.472,3,-11.999,0,0.0296,0.293,0.0,0.168,0.777,119.569,174800,0
All Out 60s,95,River Deep - Mountain High,Ike & Tina Turner,56,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113,244160,1
All Out 60s,96,Hard to Handle,Otis Redding,62,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552,141000,0
All Out 60s,97,Build Me Up Buttercup - Mono,The Foundations,73,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609,177533,0
All Out 60s,98,Jumpin' Jack Flash,The Rolling Stones,0,0.569,0.896,3,-9.068,1,0.0634,0.0602,0.31,0.0723,0.711,137.292,221747,0
All Out 60s,99,Crazy - Single Version,Patsy Cline,65,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,164573,0
All Out 70s,0,Dancing Queen,ABBA,80,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,230400,1
All Out 70s,1,Wild World,Yusuf / Cat Stevens,12,0.484,0.508,0,-9.308,1,0.0364,0.376,0.000791,0.0961,0.554,151.867,200173,0
All Out 70s,2,Your Song,Elton John,77,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,241787,1
All Out 70s,3,Hotel California - 2013 Remaster,Eagles,59,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,1
All Out 70s,4,I Can See Clearly Now,Johnny Nash,62,0.683,0.53,2,-8.542,1,0.0601,0.41,7.43e-05,0.06,0.579,124.392,162653,0
All Out 70s,5,How Deep Is Your Love,Bee Gees,73,0.633,0.357,5,-9.366,0,0.0264,0.105,0.0,0.133,0.674,104.938,245200,1
All Out 70s,6,Ain't No Stoppin' Us Now - Single Version,McFadden & Whitehead,31,0.721,0.743,1,-6.358,1,0.0525,0.0835,0.0,0.135,0.867,112.504,217320,0
All Out 70s,7,Ain't No Sunshine,Bill Withers,76,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,125093,0
All Out 70s,8,Wonderful Tonight,Eric Clapton,74,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,225027,1
All Out 70s,9,Mamma Mia,ABBA,76,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,213267,0
All Out 70s,10,Maggie May,Rod Stewart,71,0.605,0.574,2,-10.536,1,0.0377,0.559,0.113,0.0684,0.543,129.449,350267,1
All Out 70s,11,Listen to the Music,The Doobie Brothers,74,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,227267,1
All Out 70s,12,Give A Little Bit,Supertramp,74,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,248173,1
All Out 70s,13,Midnight Train to Georgia,Gladys Knight & The Pips,70,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,279333,1
All Out 70s,14,Let Your Love Flow,The Bellamy Brothers,69,0.679,0.553,3,-14.687,1,0.0316,0.0611,7.16e-06,0.139,0.946,109.071,198760,0
All Out 70s,15,Go Your Own Way - 2004 Remaster,Fleetwood Mac,74,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,1
All Out 70s,16,You're so Vain,Carly Simon,73,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,258411,1
All Out 70s,17,"Knowing Me, Knowing You",ABBA,0,0.55,0.741,2,-7.109,1,0.0299,0.0426,3.72e-06,0.235,0.903,107.327,243893,1
All Out 70s,18,Don't Go Breaking My Heart,Elton John,76,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,275440,1
All Out 70s,19,My Life,Billy Joel,69,0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097,284000,1
All Out 70s,20,Cecilia,Simon & Garfunkel,72,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,174827,0
All Out 70s,21,Take It Easy - 2013 Remaster,Eagles,75,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578,0
All Out 70s,22,"December, 1963 (Oh, What a Night)",Frankie Valli & The Four Seasons,0,0.729,0.6,1,-9.527,1,0.0255,0.0663,7.86e-06,0.0382,0.964,104.414,201093,0
All Out 70s,23,Easy,Commodores,58,0.576,0.432,10,-13.642,0,0.0314,0.233,0.00135,0.0743,0.348,132.144,260893,1
All Out 70s,24,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,79,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,1
All Out 70s,25,She's Always a Woman,Billy Joel,70,0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,201373,0
All Out 70s,26,Fernando,ABBA,68,0.354,0.535,9,-8.876,1,0.0303,0.627,2.9e-06,0.0808,0.434,110.821,252960,1
All Out 70s,27,American Pie,Don McLean,75,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,1
All Out 70s,28,Moondance - 2013 Remaster,Van Morrison,67,0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,274040,1
All Out 70s,29,Tiny Dancer,Elton John,77,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093,1
All Out 70s,30,Crazy Little Thing Called Love - Remastered 2011,Queen,73,0.599,0.761,0,-6.887,1,0.0421,0.713,4.74e-06,0.349,0.712,77.015,163373,0
All Out 70s,31,Follow You Follow Me - Remastered 2007,Genesis,61,0.531,0.747,7,-9.368,1,0.0344,0.146,0.0722,0.07,0.761,93.559,240991,1
All Out 70s,32,You Are The Sunshine Of My Life,Stevie Wonder,69,0.519,0.46,11,-14.53,1,0.0688,0.823,5.97e-05,0.243,0.675,132.082,178200,0
All Out 70s,33,Solsbury Hill,Peter Gabriel,68,0.678,0.631,11,-8.624,1,0.0301,0.355,0.000268,0.376,0.463,102.378,261560,1
All Out 70s,34,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,80,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,292613,1
All Out 70s,35,Daniel,Elton John,65,0.688,0.477,0,-11.945,1,0.029,0.38,4.93e-05,0.0864,0.897,132.071,234667,1
All Out 70s,36,The Air That I Breathe - 2008 Remaster,The Hollies,65,0.279,0.473,4,-8.375,0,0.0309,0.242,0.00164,0.158,0.246,167.792,257107,1
All Out 70s,37,What a Fool Believes,The Doobie Brothers,69,0.758,0.378,8,-15.308,0,0.0449,0.284,0.0,0.049,0.985,120.736,223867,1
All Out 70s,38,Fire and Rain,James Taylor,2,0.611,0.35,5,-14.48,1,0.0356,0.499,7.84e-06,0.0844,0.36,76.064,200579,0
All Out 70s,39,Big Yellow Taxi,Joni Mitchell,68,0.611,0.47,4,-9.135,1,0.0356,0.579,0.0,0.581,0.97,85.527,134800,0
All Out 70s,40,Piano Man,Billy Joel,74,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,339000,1
All Out 70s,41,Goodbye Yellow Brick Road - Remastered 2014,Elton John,2,0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,192827,0
All Out 70s,42,Bridge Over Troubled Water,Simon & Garfunkel,69,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,293120,1
All Out 70s,43,Everything I Own,Bread,67,0.365,0.338,2,-13.406,1,0.0322,0.735,0.0,0.104,0.446,79.241,187000,0
All Out 70s,44,Annie's Song,John Denver,0,0.325,0.308,2,-11.503,1,0.0297,0.92,0.00603,0.441,0.447,147.117,178267,0
All Out 70s,45,50 Ways to Leave Your Lover,Paul Simon,67,0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,217347,0
All Out 70s,46,It's Too Late,Carole King,42,0.698,0.446,9,-12.719,0,0.0284,0.494,0.0054,0.177,0.788,104.265,233187,1
All Out 70s,47,Love Will Keep Us Together,Captain & Tennille,47,0.681,0.484,4,-13.67,1,0.0348,0.317,0.0,0.121,0.923,129.733,206800,0
All Out 70s,48,Livin' Thing,Electric Light Orchestra,68,0.549,0.651,0,-7.097,1,0.0323,0.583,0.0,0.121,0.368,122.818,212307,0
All Out 70s,49,Crocodile Rock,Elton John,71,0.621,0.8,4,-7.284,0,0.0344,0.0263,1.51e-05,0.0591,0.968,149.91,235440,1
All Out 70s,50,Cracklin' Rosie - Single Version,Neil Diamond,63,0.562,0.503,1,-14.836,1,0.0335,0.319,0.0,0.163,0.846,127.827,179933,0
All Out 70s,51,Take A Chance On Me,ABBA,72,0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064,243933,1
All Out 70s,52,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,0,0.67,0.619,0,-10.365,0,0.0323,0.0514,0.0,0.0492,0.807,108.826,160500,0
All Out 70s,53,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,70,0.475,0.439,11,-15.039,0,0.0427,0.000146,0.000277,0.223,0.76,118.392,234867,1
All Out 70s,54,Afternoon Delight,Starland Vocal Band,0,0.491,0.439,5,-11.67,1,0.0301,0.529,0.0,0.102,0.808,147.062,193040,0
All Out 70s,55,Vincent,Don McLean,68,0.419,0.085,7,-19.387,1,0.0362,0.908,5.33e-06,0.34,0.458,91.509,243493,1
All Out 70s,56,Lola,The Kinks,69,0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,241040,1
All Out 70s,57,More Than a Feeling,Boston,77,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,1
All Out 70s,58,Who'll Stop The Rain,Creedence Clearwater Revival,68,0.598,0.797,7,-6.793,1,0.0332,0.0424,0.000407,0.0717,0.622,123.566,147493,0
All Out 70s,59,He Ain't Heavy He's My Brother - 1998 Remaster,The Hollies,60,0.304,0.421,7,-7.769,1,0.0293,0.46,4.03e-05,0.163,0.216,75.928,262267,1
All Out 70s,60,Forever In Blue Jeans,Neil Diamond,64,0.706,0.39,9,-13.673,1,0.0324,0.0221,3.81e-05,0.0944,0.839,90.584,217533,0
All Out 70s,61,Band On The Run - Remastered 2010,Wings,70,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027,1
All Out 70s,62,It Never Rains in Southern California,Albert Hammond,62,0.626,0.565,9,-10.027,1,0.0271,0.124,0.0,0.0811,0.924,116.61,233507,1
All Out 70s,63,I Want You to Want Me,Cheap Trick,69,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,191227,0
All Out 70s,64,Burning Love,Elvis Presley,68,0.66,0.748,2,-11.206,1,0.0284,0.0993,0.00585,0.283,0.972,143.549,170293,0
All Out 70s,65,Sir Duke,Stevie Wonder,70,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,232760,1
All Out 70s,66,Long Train Runnin',The Doobie Brothers,71,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,207267,0
All Out 70s,67,Into the Mystic - 2013 Remaster,Van Morrison,71,0.608,0.524,8,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204,205613,0
All Out 70s,68,Bennie And The Jets - Remastered 2014,Elton John,73,0.665,0.673,0,-7.95,1,0.0493,0.259,7.62e-06,0.497,0.779,132.642,322549,1
All Out 70s,69,I Am...I Said - Single Version,Neil Diamond,62,0.246,0.375,10,-14.409,1,0.0272,0.141,4.97e-06,0.109,0.511,90.53,213200,0
All Out 70s,70,Silly Love Songs - Remastered 2014,Wings,61,0.742,0.471,0,-10.767,1,0.0326,0.134,0.0903,0.284,0.815,124.95,354240,1
All Out 70s,71,If You Leave Me Now,Chicago,73,0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,0.275,104.183,235373,1
